COUNTRY,YEAR,BOR,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Norway,2019,79.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2019,81.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,2020,73.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2,85.5,83.51,80.2,85.48,83.84,85.48,87.95,87.95,86.85,87.67,81.23,82.46,84.11,85.8,85.8,85.8,86,87.3,86.4,85.6,86.8,87.7,88.8,88.5,94.2,94,88.1,87.1,86.9,86.1,85.5,85.2,84.6,73.6
San Marino,2020,61.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.55,57.66,59.82,60,62,65.01,65.8,65.8,61.5,61
Serbia,2018,65.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,2019,65.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2019,68.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2019,75.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,1996,77.50,,,,,,,,,,,,,,,72.7,73.5,72.8,72.3,71.9,71.1,72.2,72.1,72,73.7,74.4,75.3,75.3,74.2,74.9,75.3,72.3,72.2,73,74.8,76.2,77.3,75.9,77.5,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,2019,81.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
